Name,Tweets,tidy_tweet,sentiment,positive_percentage,negative_percentage,wordcloud
TheOffice,,,,80,20,https://i.ibb.co/Y3zKQBj/The-Office.png
0,My two favorite # TheOffice bean counters making chili together! PS: Hope you remembered to carry the one. https://twitter.com/BBBaumgartner/status/1069311912796516352 �,favorite TheOffice bean counters making chili together Hope remembered carry https twitter BBBaumgartner status,positive,,,
1,My two favorite # TheOffice bean counters making chili together! PS: Hope you remembered to carry the one.,favorite TheOffice bean counters making chili together Hope remembered carry,positive,,,
2,iPod and Bluetooth. Tech breakthroughs in season 7 of # TheOffice,iPod Bluetooth Tech breakthroughs season TheOffice,positive,,,
3,# TheOffice,TheOffice,positive,,,
4,We begin season 7 of # TheOffice. This is corny.,begin season TheOffice This corny,negative,,,
5,Rewatching all the # Christmas episodes of # TheOffice and remembering why I fell in love with this show in the first place because they're all incredible. # SundayThoughtspic.twitter.com/6ozg2aaU36,Rewatching Christmas episodes TheOffice remembering fell love with this show first place because they incredible SundayThoughtspic twitter,positive,,,
6,I am so proud of my Dunder Mifflin tree! # TheOffice @ johnkrasinski @ jennafischer @ AngelaKinsey @ rainnwilson @ OscarNunezLA @ SteveCarell @ bjnovak @ BBBaumgartner @ creedbratton @pic.twitter.com/QvGcVP6KlJ,proud Dunder Mifflin tree TheOffice johnkrasinski jennafischer AngelaKinsey rainnwilson OscarNunezLA SteveCarell bjnovak BBBaumgartner creedbratton twitter QvGcVP,negative,,,
7,"�In the end, the greatest snowball of all isn�t even a snowball-it�s fear.� -Dwight K. Schrute # theoffice # wordstoliveby",greatest snowball even snowball fear Dwight Schrute theoffice wordstoliveby,positive,,,
8,"Hoje em 2010 foi ao ar o epis�dio 10 da 7a temporada de The Office, chamado China. O que houve no epis�dio? Nossa equipe ainda n�o chegou at� la. Sem Spoilers # podcast # podcastbrasil # Hist�ria # televisao # TheOffice",Hoje epis temporada Office chamado China houve epis Nossa equipe ainda chegou Spoilers podcast podcastbrasil Hist televisao TheOffice,positive,,,
9,# christmastree and # theoffice pic.twitter.com/dpq6c4mpcQ,christmastree theoffice twitter mpcQ,positive,,,
Arrow,,,,50,50,https://i.ibb.co/gR05X9k/Arrow.png
0,# Arrow - 7x07 no ar! https://tvtime.com/r/NNiB,Arrow https tvtime NNiB,positive,,,
1,"# TheFlash So, I just watched o come all ye thankful & @ FLASHtvwriters did an excellent job weaving in cicada' s backstory & motivations, Gr8er than # Arrow & # Supergirl have, imo!",TheFlash just watched come thankful FLASHtvwriters excellent weaving cicada backstory motivations than Arrow Supergirl have,positive,,,
2,I love having a Jewish superhero to look up to on tv! Felicity Smoak inspires me and I love every reference to her religion and heritage. She has saved me multiple times. Thank you for her and Happy Hanukkah! @ SchwartzApprovd @ ARROWwriters @ CW_Arrow # Arrow pic.twitter.com/fc7o3sJcsQ,love having Jewish superhero look Felicity Smoak inspires love every reference religion heritage saved multiple times Thank Happy Hanukkah SchwartzApprovd ARROWwriters Arrow Arrow twitter sJcsQ,positive,,,
3,I've just watched episode S01E20 of Arrow! # Arrow # tvtime https://tvtime.com/r/OiGA pic.twitter.com/1c1R2ESocu,just watched episode Arrow Arrow tvtime https tvtime OiGA twitter ESocu,negative,,,
4,Great guess! That makes me oddly emotional. # Arrow,Great guess That makes oddly emotional Arrow,positive,,,
5,Who the hell is Max Fuller why don�t I remember him. # Arrow,hell Fuller remember Arrow,negative,,,
6,Where are the sneak peaks? # Arrow,Where sneak peaks Arrow,negative,,,
7,Hunter or hunted # fox # arrow # struggle # hunter # hero # strong # attack # illustration # art # artistsoninstagram # digitalart # sketch # sketchbook # doodle # drawing # fast # ideas # quick� https://www.instagram.com/p/Bq51_fTgLD5/?utm_source=ig_twitter_share&igshid=1krpuyl58r89d �,Hunter hunted arrow struggle hunter hero strong attack illustration artistsoninstagram digitalart sketch sketchbook doodle drawing fast ideas quick https instagram fTgLD source twitter share igshid krpuyl,positive,,,
8,I've just watched episode S07E07 of Arrow! # Arrow # tvtime https://tvtime.com/r/OiCp pic.twitter.com/SfCCj4f4fF,just watched episode Arrow Arrow tvtime https tvtime OiCp twitter SfCCj,negative,,,
9,"Novas imagens de Elseworlds confirmam presen�as de Malcolm Merlyn, Joe Wilson e Ricardo Diaz. # ARROW # TheFlash # supergirl # Elseworlds # dccomics # TheCW # melissabenoist # johnbarrowman # kirkacevedo # grantgustin # flash # stephenamell # Arrowverse # arrowversecrossover2018pic.twitter.com/hpafdjos7P",Novas imagens Elseworlds confirmam presen Malcolm Merlyn Wilson Ricardo Diaz ARROW TheFlash supergirl Elseworlds dccomics TheCW melissabenoist johnbarrowman kirkacevedo grantgustin flash stephenamell Arrowverse arrowversecrossover twitter hpafdjos,negative,,,
Daredevil,,,,90,10,https://i.ibb.co/S6syqYx/Daredevil.png
0,Netflix cancelled # Daredevil and this is Foggy's shocked face. # SaveDaredevilpic.twitter.com/N5Xu1wnsdf,Netflix cancelled Daredevil this Foggy shocked face SaveDaredevilpic twitter wnsdf,positive,,,
1,Just finished recording our # Daredevil Season 3 discussion episode in light of the recent cancellation. Dropping in a few days. # Marvel # Netflixpic.twitter.com/t4HnNStC0I,Just finished recording Daredevil Season discussion episode light recent cancellation Dropping days Marvel Netflixpic twitter HnNStC,positive,,,
2,"With # Daredevil put out to pasture, it�s safe to say the entire Netflix franchise is merely running out the clock. https://www.nbcnews.com/think/opinion/netflix-cancels-daredevil-essentially-killing-marvel-universe-dooming-jessica-jones-ncna942666 �",With Daredevil pasture safe entire Netflix franchise merely running clock https nbcnews think opinion netflix cancels daredevil essentially killing marvel universe dooming jessica jones ncna,negative,,,
3,# CharlieCoxSad Adi�s # Daredevil pic.twitter.com/4H8OSI0Rgw,CharlieCoxSad Daredevil twitter,positive,,,
4,"# Daredevil & # ThePunisher 2of my favorite Marvel Titles. Finishing DD S3(best yet) when we heard the news. Though sad, It did spark a fantastic discussion about how Matt may fight super villains on rooftops but # KarenPage was the true superhero played perfectly by you, Deborah.",Daredevil ThePunisher favorite Marvel Titles Finishing best when heard news Though spark fantastic discussion about Matt fight super villains rooftops KarenPage true superhero played perfectly Deborah,positive,,,
5,"# Daredevil was cancelled. On the one hand, that makes me very sad. On the other, now that they're done, maybe they're looking for new ideas for future versions of the character.",Daredevil cancelled hand that makes very other that they done maybe they looking ideas future versions character,positive,,,
6,# Daredevil pic.twitter.com/RD6mLQIPpX,Daredevil twitter mLQIPpX,positive,,,
7,Better have # Daredevil in it,Better have Daredevil,positive,,,
